product_code,annual_revenue
A6120110205,10681.6368
A6120110206,10533.0708
A6119110201,10505.6232
A6121110208,10445.7444
A5921110208,10316.7984
A5921110205,10273.3920
A6019110107,10225.5252
A5921110207,10213.8636
A6018110103,10202.5788
A6018110104,10181.6016
A6120110207,10068.1740
A6119110204,10060.8420
A6119110202,10060.1028
A6120110205,10019.7744
A6119110201,9889.0668
A6120110206,9727.2408
A6119110204,9687.1656
A6018110106,9654.3852
A6019110108,9649.4628
A6018110101,9605.4924
A5721110508,9601.8132
A6119110203,9565.1304
A6019110108,9559.9272
A5820110103,9557.9412
A6018110105,9545.9436
A5921110201,9524.5584
A5820110107,9523.6968
A5921110204,9493.9356
A6119110202,9481.2480
A6018110106,9451.0488
A6019110107,9431.9016
A5921110202,9412.5156
A6018110103,9251.7468
A5921110203,9235.0500
A6119110203,9234.7620
A6018110105,9199.7664
A6018110102,9168.6504
A5820110101,9049.8720
A6018110104,8989.1844
A6018110102,8986.7088
A6018110103,8961.7356
A5821110108,8960.8656
A5921110206,8913.8760
A5820110107,8852.1300
A5820110103,8821.7580
A6019110107,8760.7080
A6018110105,8756.5824
A5721110505,8700.8076
A5820110102,8681.5392
A5820110104,8647.8012
A5721110506,8646.5520
A6018110104,8639.3436
A5721110506,8613.1680
A6018110101,8567.5692
A5820110105,8512.7112
A5721110507,8461.2924
A5621110408,8440.4232
A5721110504,8427.6480
A5820110106,8411.9364
A5820110102,8370.6492
A6018110103,8325.2064
A6018110102,8321.4084
A5820110106,8310.2904
A5520110306,8307.7272
A5820110104,8285.9652
A6018110101,8274.4764
A6018110106,8212.9416
A5721110503,8182.7796
A5820110101,8175.6264
A5721110503,8139.6420
A6018110104,8120.2908
A6018110102,8118.3204
A5721110505,8093.1264
A5721110502,8030.9064
A5621110403,7995.3936
A5520110305,7966.0980
A5419110208,7952.5188
A5520110307,7933.7616
A5621110407,7926.5316
A5721110501,7889.1732
A5621110408,7887.0300
A5721110504,7870.0176
A5621110404,7869.6624
A5621110407,7869.3384
A5620110401,7856.7000
A5721110501,7796.3148
A5520110308,7793.3736
A5621110406,7732.5324
A5419110203,7721.7324
A5419110204,7714.2456
A5620110401,7704.8376
A5519110301,7703.1288
A6018110101,7690.6668
A5621110404,7679.5368
A5520110306,7676.1792
A5620110402,7656.5544
A5621110405,7651.1088
A5620110402,7631.2644
A5419110206,7594.5972
A5520110305,7589.8620
A5621110403,7574.2260
A5621110406,7551.2652
A5721110502,7535.9256
A6018110105,7515.0744
A5621110403,7510.4064
A5220110408,7386.7476
A5419110207,7379.2836
A5620110401,7378.7076
A5621110407,7358.6448
A5519110304,7351.6128
A5419110201,7340.7624
A5520110307,7317.5112
A5419110208,7300.8840
A5519110302,7270.3704
A5419110205,7261.8132
A5519110303,7251.2652
A5419110204,7235.0400
A5621110405,7221.8076
A5419110206,7219.6776
A5318110105,7219.6752
A5520110306,7215.9228
A5318110107,7204.8408
A5419110207,7190.7624
A5520110305,7173.5496
A5519110304,7173.2448
A5419110203,7146.8532
A5318110104,7139.8884
A5620110402,7125.9564
A5621110406,7115.0496
A5419110207,7107.1068
A5419110202,7103.8704
A5419110205,7102.3188
A5520110308,7081.3908
A5519110301,7076.8932
A5318110103,7062.6888
A5318110104,7036.5888
A5419110201,7020.0036
A5318110103,7019.6664
A5721110501,6980.4900
A5318110107,6979.5528
A5318110106,6961.5972
A5520110305,6958.6812
A5318110108,6957.4104
A5318110108,6955.9308
A5621110405,6948.3216
A5519110302,6936.8352
A5520110307,6918.3540
A5520110308,6917.5116
A5419110204,6885.1980
A5219110402,6878.8932
A5219110407,6871.6308
A5318110107,6859.7868
A5419110208,6850.1112
A5419110205,6849.0936
A5419110202,6815.1252
A5318110106,6790.4964
A5519110301,6777.1788
A5318110101,6775.3872
A5621110404,6739.3092
A5621110408,6731.8740
A5419110201,6682.5648
A5119110306,6677.8188
A5318110108,6668.5968
A5419110203,6655.5288
A5119110307,6621.2160
A5620110401,6619.3044
A5318110105,6615.9636
A5419110202,6613.1796
A5219110406,6605.5164
A5219110403,6599.7588
A5419110206,6586.8144
A5519110303,6586.7460
A5621110403,6574.2120
A5219110407,6547.1172
A5318110105,6541.0356
A5519110302,6492.9576
A5219110401,6447.9264
A5220110408,6396.4764
A5018110207,6386.3448
A5519110304,6385.4628
A5419110205,6382.1400
A5520110306,6377.2524
A5119110305,6358.8336
A5419110204,6340.1100
A5219110406,6337.6716
A5318110107,6331.4988
A5621110405,6327.4500
A5318110102,6324.1164
A5219110405,6322.5312
A5519110303,6315.9192
A5219110403,6309.6504
A5219110405,6283.3200
A5318110104,6263.4744
A5219110405,6255.1236
A5318110106,6245.0808
A5318110105,6227.6748
A5119110307,6197.4960
A5318110103,6172.4256
A5419110206,6172.3308
A5119110303,6171.0156
A5419110203,6160.9680
A5119110308,6150.9732
A5119110308,6147.8604
A5318110108,6102.0504
A5419110202,6098.2680
A5219110401,6083.5728
A5119110307,6075.2268
A5119110301,6052.8396
A5419110207,6050.5584
A5318110105,6046.7208
A5318110101,6038.4936
A5119110308,6032.8248
A5219110401,6028.4688
A5318110106,6022.7532
A5019110208,5991.4884
A5620110402,5969.4180
A5520110308,5968.4112
A5318110104,5962.9560
A5219110406,5915.2224
A5318110102,5905.9788
A5219110402,5881.8984
A5018110204,5873.8308
A5318110101,5863.9236
A4918110102,5861.5464
A5419110202,5856.9636
A5119110306,5845.1208
A5119110306,5837.8284
A5018110205,5834.1156
A5520110307,5826.8544
A5419110205,5820.9372
A5119110305,5800.5756
A5018110206,5787.4848
A5119110301,5748.5292
A5318110104,5742.7068
A5219110404,5735.3436
A5519110301,5735.1624
A4918110103,5734.7712
A5419110201,5720.6796
A5018110203,5718.4092
A5018110206,5706.6528
A5018110207,5702.2848
A5621110404,5693.7336
A5119110303,5691.7848
A5119110302,5691.7584
A5219110403,5686.7676
A5119110302,5685.9000
A5419110204,5678.1036
A5318110103,5662.2024
A5318110102,5635.1484
A5318110107,5634.1020
A5018110205,5624.5320
A5019110208,5607.6564
A5018110201,5557.8840
A5018110202,5550.6816
A5318110106,5539.8024
A4821110808,5526.6480
A5419110208,5524.8264
A4918110104,5523.3660
A5018110202,5522.5440
A5318110103,5519.7936
A5318110108,5499.0744
A5219110402,5473.9032
A5119110305,5464.0884
A4918110104,5460.6540
A5419110203,5451.4200
A4918110101,5448.0084
A4821110806,5435.7468
A5018110203,5425.7040
A5018110201,5420.4588
A4918110102,5417.8572
A5119110304,5404.2204
A5419110201,5396.6508
A5018110201,5381.2128
A5119110301,5373.9936
A5018110204,5372.8044
A5119110304,5362.6080
A4821110807,5352.4392
A5018110205,5349.4308
A4918110104,5313.2964
A5018110202,5261.5392
A5119110303,5224.4472
A5018110207,5212.1904
A4821110804,5203.5216
A4821110805,5176.4244
A5018110203,5158.9680
A5119110302,5153.6772
A4918110103,5137.7412
A4821110803,5133.1284
A5018110204,5086.7544
A5019110208,5070.0036
A4721110703,5064.1596
A4918110101,5030.3232
A5018110206,5029.7376
A5119110303,5026.7460
A4821110802,5007.9108
A4720110701,4979.1732
A4918110101,4968.6324
A5018110202,4957.3008
A5018110202,4953.0984
A4821110801,4935.7080
A4918110102,4929.3900
A5018110203,4917.2628
A4918110104,4888.8924
A5119110302,4886.0856
A4918110103,4854.5988
A4620110605,4838.5776
A5018110205,4816.3548
A4620110607,4812.3612
A4721110708,4777.5060
A5119110301,4759.9932
A4720110702,4758.9840
A5018110207,4755.8472
A5018110201,4746.9444
A4721110707,4717.6800
A4721110705,4692.4416
A5018110204,4679.8392
A4918110103,4590.3360
A4918110104,4577.7528
A4721110704,4562.5836
A4620110603,4543.4340
A4721110706,4538.5128
A4918110102,4535.9496
A4721110705,4528.8828
A4520110506,4510.4328
A4721110704,4490.2680
A5018110203,4459.5768
A4720110702,4456.8324
A4620110608,4448.0148
A4620110602,4417.4424
A5018110201,4416.4932
A4720110701,4412.8020
A5019110208,4409.7000
A4620110603,4392.5508
A5018110206,4384.7304
A5018110204,4374.2448
A4520110508,4369.7400
A4918110103,4363.8792
A4620110608,4356.7560
A4918110101,4353.7476
A4721110703,4339.7952
A4620110604,4333.2600
A4520110507,4313.7084
A4918110102,4303.0512
A4918110101,4252.9800
A4520110504,4244.2080
A4620110604,4237.1784
A4620110606,4235.5812
A4620110605,4191.0300
A4620110606,4182.4500
A4620110607,4173.6360
A4620110601,4166.9688
A4620110602,4160.2632
A4620110601,4157.0208
A4520110504,4100.8116
A4519110503,4065.4380
A4419110408,4018.2228
A4519110501,3983.1876
A4520110505,3969.9360
A4519110502,3961.9932
A4419110407,3932.3256
A4520110508,3925.1160
A4520110506,3903.0732
A4520110505,3902.5872
A4520110507,3875.3112
A4419110405,3853.5768
A4419110404,3838.0248
A4519110501,3742.0752
A4520110504,3721.0620
A4419110402,3714.5556
A4519110503,3683.0268
A4519110501,3617.6040
A4419110406,3616.0128
A4519110502,3604.0536
A4419110405,3593.0064
A4419110403,3586.6668
A4419110408,3583.3548
A4319110305,3574.1292
A4419110408,3564.3324
A4519110502,3563.1456
A4419110401,3531.7344
A4419110405,3494.4852
A4419110403,3456.6036
A4519110503,3455.7996
A4419110406,3450.7992
A4419110407,3449.9208
A4419110404,3442.7676
A4319110303,3422.1720
A4419110404,3418.5720
A4419110402,3383.4048
A4419110406,3375.1968
A4319110304,3354.4440
A4319110305,3333.6948
A4319110306,3309.8328
A4319110306,3305.1492
A4318110301,3301.6524
A4419110407,3269.8200
A4319110302,3267.6984
A4419110401,3256.1652
A4419110402,3246.6876
A4218110208,3230.5272
A4419110403,3214.3836
A4319110302,3206.5092
A4319110304,3204.7632
A4318110301,3176.4000
A4319110303,3134.7660
A4419110401,3098.6148
A4218110207,3056.4744
A4218110206,3055.8060
A4319110306,3035.8200
A4318110301,3008.7732
A4218110203,2999.8308
A4319110305,2996.3988
A4218110205,2993.8968
A4218110207,2989.5636
A4218110204,2974.9164
A4319110304,2927.6808
A4218110208,2916.4968
A4319110303,2896.9620
A4218110205,2896.8576
A4218110205,2881.6836
A4218110206,2844.2196
A4218110203,2842.1832
A4419110403,2817.5784
A4419110402,2814.1032
A4218110204,2785.2456
A4218110202,2752.4736
A4319110302,2730.7656
A4319110305,2720.8272
A4218110204,2708.3196
A4218110206,2690.1876
A4218110207,2632.7664
A4419110401,2628.0384
A4218110204,2623.4592
A4318110301,2612.5344
A4218110208,2605.6008
A4218110205,2600.9004
A4218110202,2591.2092
A1521150603,2574.4284
A4218110202,2568.2736
A4319110306,2558.7216
A4218110204,2544.7560
A4319110304,2543.2932
A4218110206,2489.5476
A4218110203,2483.5728
A4218110205,2445.1920
A1521150602,2441.6700
A4118110107,2411.9604
A4218110201,2403.2784
A4218110201,2389.4364
A4218110207,2383.4592
A4319110302,2377.4016
A1521150601,2376.4896
A4118110107,2349.2652
A4218110208,2332.7844
A4319110303,2321.3976
A1421150503,2260.6896
A4218110203,2257.2492
A4118110106,2253.0396
A4118110105,2240.9256
A4218110202,2235.5556
A1521150601,2235.5004
A1521150602,2225.5188
A4118110105,2194.7184
A4118110107,2189.0328
A4218110201,2186.9124
A4118110106,2161.8348
A4118110105,2150.9376
A4118110104,2148.8556
A4218110202,2143.8180
A1421150503,2117.2668
A4218110203,2085.2268
A4118110102,2075.6424
A1420150501,2057.9136
A1420150502,2050.0728
A4118110104,2043.3576
A4218110201,2036.3940
A1420150502,2033.9988
A1320150403,2022.5100
A4118110106,1975.9116
A4118110105,1930.5504
A4118110106,1928.3520
A1320150403,1928.2944
A1420150501,1926.0984
A4118110104,1921.5384
A1320150402,1911.7668
A4118110107,1894.0416
A1320150402,1879.1484
A1319150401,1878.4968
A4218110201,1870.6788
A4118110105,1870.5744
A4118110106,1868.7144
A4118110103,1861.3884
A4118110101,1848.1776
A4118110103,1824.6576
A4118110107,1820.4600
A4118110102,1818.6888
A1219150303,1810.8060
A4118110102,1804.3428
A1320150402,1802.9400
A1319150401,1789.2408
A1118150202,1773.9516
A1119150203,1758.8676
A1420150501,1746.4992
A4118110103,1746.4464
A1319150401,1742.9268
A1320150403,1742.5332
A1219150302,1741.7688
A1219150303,1715.2824
A1118150201,1714.6968
A1219150301,1703.4780
A1219150303,1692.7224
A1219150302,1689.3468
A1119150203,1678.7544
A1219150302,1654.4136
A1219150303,1635.1344
A1219150301,1628.1864
A4118110101,1612.0692
A4118110101,1588.4688
A1118150202,1558.9656
A1118150202,1555.0032
A1219150301,1550.6292
A1118150201,1491.1680
A1018150103,1487.1780
A1018150102,1481.7564
A1219150301,1480.5216
A1219150301,1472.1804
A1118150202,1470.0924
A1219150302,1465.9200
A1119150203,1464.3948
A1118150201,1463.1852
A1119150203,1462.6992
A1118150202,1441.5192
A1119150203,1406.8644
A1018150102,1405.8012
A1018150103,1392.3744
A1118150201,1342.8468
A1018150101,1333.2432
A1018150103,1328.2572
A1018150102,1304.6148
A1018150101,1272.2520
A1018150103,1261.9932
A1118150201,1249.6392
A1018150102,1222.6260
A1018150101,1161.8208
A1018150101,1139.2860
A0921150604,580.3728
A2021150504,572.6148
A2021150503,559.8408
A7321160302,552.4788
A0821150503,549.7668
A0921150601,549.6516
A2020150502,545.5200
A2021150503,545.2524
A0921150603,544.9308
A0821150502,541.7412
A0921150601,540.9756
A0821150504,536.4528
A0921150602,536.4252
A7321160301,535.5120
A0721150404,527.8236
A7321160302,527.3352
A7321160303,522.6708
A0821150502,519.5592
A1920150404,516.5460
A0621150308,515.3268
A7321160303,514.1796
A0821150504,511.0308
A0821150503,508.6092
A0721150403,502.0092
A2020150501,496.4352
A3621150803,495.3612
A0721150401,495.1572
A0821150501,492.0516
A7321160301,489.5448
A0721150402,487.4436
