city,category,Total_sales
Ahmedabad,Clothing,7800
Ahmedabad,Electronics,59680
Ahmedabad,Groceries,1085
Ahmedabad,NULL,68565
Bangalore,Clothing,7300
Bangalore,Electronics,144500
Bangalore,Groceries,4000
Bangalore,NULL,155800
Chennai,Clothing,6800
Chennai,Electronics,99050
Chennai,Groceries,1980
Chennai,NULL,107830
Delhi,Clothing,12650
Delhi,Electronics,164500
Delhi,Groceries,4400
Delhi,NULL,181550
Hyderabad,Clothing,8600
Hyderabad,Electronics,13700
Hyderabad,Groceries,930
Hyderabad,NULL,23230
Jaipur,Clothing,7100
Jaipur,Electronics,6130
Jaipur,Groceries,960
Jaipur,NULL,14190
Kolkata,Clothing,10750
Kolkata,Electronics,148000
Kolkata,Groceries,46480
Kolkata,NULL,205230
Lucknow,Clothing,7900
Lucknow,Electronics,141000
Lucknow,Groceries,3480
Lucknow,NULL,152380
Mumbai,Clothing,12600
Mumbai,Electronics,63100
Mumbai,Groceries,3100
Mumbai,NULL,78800
Patna,Clothing,8100
Patna,Electronics,56150
Patna,Groceries,2370
Patna,NULL,66620
Pune,Clothing,11300
Pune,Electronics,95850
Pune,Groceries,4000
Pune,NULL,111150
Ranchi,Clothing,10000
Ranchi,Electronics,95150
Ranchi,Groceries,3990
Ranchi,NULL,109140
NULL,NULL,1274485
