product_code,product,Jan_sales,Feb_sales,Mar_sales
A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",7400,7214,6199
A0118150102,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",6873,7391,6889
A0118150103,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",7287,6785,6636
A0118150104,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",6601,6915,7171
A0219150201,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",7708,7135,7060
A0219150202,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",7791,6786,6947
A0220150203,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",6743,7472,7145
A0320150301,"AQ Zion Saga",7046,7197,7679
A0321150302,"AQ Zion Saga",7688,7206,6805
A0321150303,"AQ Zion Saga",6172,7538,7732
A0418150103,"AQ Mforce Gen X",5400,5564,5562
A0418150104,"AQ Mforce Gen X",5511,5300,6164
A0418150105,"AQ Mforce Gen X",6140,5581,5653
A0418150106,"AQ Mforce Gen X",5879,5601,6240
A0519150201,"AQ Mforce Gen Y",5392,5265,5938
A0519150202,"AQ Mforce Gen Y",5477,5475,5271
A0519150203,"AQ Mforce Gen Y",5837,6074,5852
A0519150204,"AQ Mforce Gen Y",5720,5401,5843
A0519150205,"AQ Mforce Gen Y",6169,5679,5399
A0519150206,"AQ Mforce Gen Y",5680,5544,5756
A0519150207,"AQ Mforce Gen Y",5741,5365,5652
A0519150208,"AQ Mforce Gen Y",5540,5594,5184
A0619150301,"AQ Mforce Gen Z",5583,5445,5929
A0619150302,"AQ Mforce Gen Z",5945,5988,5408
A0620150303,"AQ Mforce Gen Z",5569,5841,6133
A0620150304,"AQ Mforce Gen Z",5721,5094,5753
A0620150305,"AQ Mforce Gen Z",5923,4898,6363
A0620150306,"AQ Mforce Gen Z",5620,5645,5602
A0621150307,"AQ Mforce Gen Z",5607,4885,5580
A0621150308,"AQ Mforce Gen Z",6136,5579,5554
A0721150401,"AQ GT 21",5410,5785,5862
A0721150402,"AQ GT 21",5260,5443,5946
A0721150403,"AQ GT 21",5339,5931,5767
A0721150404,"AQ GT 21",5673,5620,5803
A0821150501,"AQ Marquee P3",5972,5427,5863
A0821150502,"AQ Marquee P3",5395,5866,5722
A0821150503,"AQ Marquee P3",6397,5474,6032
A0821150504,"AQ Marquee P3",5744,5260,5744
A0921150601,"AQ Marquee P4",5314,5983,5383
A1018150101,"AQ 5000 Series Electron 9 5900X Desktop Processor",5974,5006,5869
A1018150102,"AQ 5000 Series Electron 9 5900X Desktop Processor",6176,5614,5493
A1018150103,"AQ 5000 Series Electron 9 5900X Desktop Processor",5515,5290,5746
A1118150201,"AQ 5000 Series Electron 8 5900X Desktop Processor",5692,5774,5762
A1118150202,"AQ 5000 Series Electron 8 5900X Desktop Processor",5874,5304,6058
A1119150203,"AQ 5000 Series Electron 8 5900X Desktop Processor",5877,5888,6001
A1219150301,"AQ 5000 Series Ultron 8 5900X Desktop Processor",6143,5818,6136
A1219150302,"AQ 5000 Series Ultron 8 5900X Desktop Processor",6186,5719,6607
A1219150303,"AQ 5000 Series Ultron 8 5900X Desktop Processor",6004,5556,6648
A1319150401,"AQ Electron 5 3600 Desktop Processor",5684,4999,5699
A1320150402,"AQ Electron 5 3600 Desktop Processor",5649,6081,5867
A1320150403,"AQ Electron 5 3600 Desktop Processor",5788,6114,6236
A1420150501,"AQ Electron 4 3600 Desktop Processor",5797,6229,6122
A1420150502,"AQ Electron 4 3600 Desktop Processor",5977,5620,5673
A1421150503,"AQ Electron 4 3600 Desktop Processor",6233,6017,5745
A1521150601,"AQ Electron 3 3600 Desktop Processor",6195,5964,5767
A1521150602,"AQ Electron 3 3600 Desktop Processor",5728,5409,6625
A1618150101,"AQ MB Elite",4325,4035,3888
A1618150102,"AQ MB Elite",3932,3854,3614
A1618150103,"AQ MB Elite",4091,4222,3854
A1618150104,"AQ MB Elite",4344,3652,4064
A1718150201,"AQ MB Crossx",4257,4022,4393
A1718150202,"AQ MB Crossx",3758,4290,4035
A1718150203,"AQ MB Crossx",3782,3775,4246
A1718150204,"AQ MB Crossx",3801,4427,4507
A1819150301,"AQ MB Crossx 2",3849,3866,4220
A1819150302,"AQ MB Crossx 2",4295,4150,3757
A1819150303,"AQ MB Crossx 2",3828,4205,4360
A1819150304,"AQ MB Crossx 2",3904,3844,4272
A1919150401,"AQ MB Lito",4128,4026,3621
A1919150402,"AQ MB Lito",4116,3694,3994
A1919150403,"AQ MB Lito",4144,4192,4517
A1920150404,"AQ MB Lito",3853,4012,4210
A2020150501,"AQ MB Lito 2",3938,3897,4260
A2020150502,"AQ MB Lito 2",4153,3829,4271
A2021150503,"AQ MB Lito 2",3600,3626,4016
A2118150101,"AQ Master wired x1 Ms",28352,28468,31413
A2118150102,"AQ Master wired x1 Ms",29936,26499,29049
A2118150103,"AQ Master wired x1 Ms",33241,29112,26456
A2118150104,"AQ Master wired x1 Ms",32261,27330,28627
A2118150105,"AQ Master wired x1 Ms",28525,28189,33244
A2118150106,"AQ Master wired x1 Ms",28378,32432,30664
A2218150201,"AQ Master wireless x1 Ms",31474,28532,27154
A2218150202,"AQ Master wireless x1 Ms",31463,27738,27898
A2219150203,"AQ Master wireless x1 Ms",29486,31272,28071
A2219150204,"AQ Master wireless x1 Ms",28723,32774,30590
A2219150205,"AQ Master wireless x1 Ms",30297,29017,30438
A2219150206,"AQ Master wireless x1 Ms",27571,30239,28155
A2319150301,"AQ Gamers Ms",28559,26778,27416
A2319150302,"AQ Gamers Ms",30618,30221,30259
A2319150303,"AQ Gamers Ms",33037,25777,30728
A2319150304,"AQ Gamers Ms",28002,28029,31336
A2319150305,"AQ Gamers Ms",32346,30582,28185
A2319150306,"AQ Gamers Ms",31958,31719,31166
A2419150401,"AQ Lite Ms",30201,28129,30473
A2419150402,"AQ Lite Ms",28019,28088,33557
A2419150403,"AQ Lite Ms",29987,30242,30754
A2419150404,"AQ Lite Ms",27765,29122,29325
A2419150405,"AQ Lite Ms",28970,31580,32216
A2420150406,"AQ Lite Ms",28674,31809,27682
A2520150501,"AQ Maxima Ms",33276,28574,30224
A2520150502,"AQ Maxima Ms",30624,30487,28214
A2520150503,"AQ Maxima Ms",29346,27026,28798
A2520150504,"AQ Maxima Ms",31212,28881,29852
A2520150505,"AQ Maxima Ms",30376,29881,30951
