date,monthly_sales_M,running_total_M,moving_avg_3m_M
2019-09-01,45.15,45.15,45.15
2019-10-01,56.73,101.87,50.94
2019-11-01,78.67,180.54,60.18
2019-12-01,83.49,264.04,72.96
2020-01-01,45.42,309.45,69.19
2020-02-01,43.97,353.42,57.63
2020-03-01,5.58,359.00,31.65
2020-04-01,20.61,379.61,23.39
2020-05-01,26.24,405.85,17.47
2020-06-01,40.09,445.94,28.98
2020-07-01,44.10,490.04,36.81
2020-08-01,45.91,535.95,43.37
2020-09-01,121.24,657.19,70.42
2020-10-01,153.02,810.21,106.73
2020-11-01,207.22,1017.43,160.50
2020-12-01,219.62,1237.06,193.29
2021-01-01,120.95,1358.01,182.60
2021-02-01,117.17,1475.18,152.58
2021-03-01,122.18,1597.35,120.10
2021-04-01,122.38,1719.73,120.58
2021-05-01,120.34,1840.07,121.63
2021-06-01,116.56,1956.63,119.76
2021-07-01,122.49,2079.11,119.79
2021-08-01,121.47,2200.59,120.17
